experiment,aware
exposed,0
exposed,1
exposed,0
control,1
control,0
exposed,0
control,1
exposed,0
control,0
exposed,0
control,0
exposed,1
exposed,0
exposed,1
exposed,0
control,0
control,1
control,0
exposed,0
control,1
exposed,1
exposed,0
exposed,0
exposed,1
control,1
control,0
control,1
exposed,1
control,1
exposed,0
exposed,0
control,1
control,0
exposed,1
exposed,1
control,1
control,0
exposed,0
exposed,0
exposed,1
exposed,1
exposed,1
exposed,0
control,0
exposed,1
exposed,1
control,1
exposed,0
control,0
control,1
exposed,0
control,0
control,1
exposed,1
control,1
exposed,0
exposed,1
exposed,1
exposed,0
exposed,0
control,1
control,0
exposed,1
control,0
control,1
exposed,0
exposed,0
control,0
exposed,0
control,0
exposed,1
control,0
control,1
control,0
control,1
control,1
control,0
exposed,1
control,0
control,0
control,1
exposed,0
control,1
control,1
exposed,1
control,0
control,0
control,1
exposed,0
exposed,1
control,0
exposed,1
control,0
exposed,0
exposed,1
control,1
control,0
control,0
exposed,0
exposed,0
exposed,1
control,1
exposed,1
control,0
exposed,0
control,1
control,1
control,0
control,0
exposed,0
control,1
exposed,0
exposed,0
exposed,0
exposed,1
control,1
exposed,0
control,0
control,0
exposed,1
exposed,0
control,0
exposed,0
control,0
control,1
exposed,0
exposed,1
exposed,0
exposed,1
control,0
control,0
exposed,0
control,1
exposed,0
control,0
exposed,0
control,0
control,0
exposed,1
control,0
exposed,0
exposed,0
exposed,0
control,1
control,1
exposed,0
exposed,1
exposed,1
control,1
exposed,0
exposed,0
exposed,1
control,1
exposed,1
exposed,1
exposed,1
exposed,0
control,0
exposed,1
exposed,0
control,0
control,0
control,0
exposed,1
control,1
exposed,1
control,1
exposed,1
control,0
control,1
control,1
exposed,1
exposed,0
control,1
exposed,0
exposed,1
control,0
exposed,1
exposed,0
exposed,0
exposed,1
control,1
exposed,1
exposed,0
exposed,0
control,1
control,1
exposed,0
control,0
control,1
exposed,1
control,0
exposed,0
control,0
exposed,0
control,1
control,1
control,0
exposed,1
control,0
exposed,1
control,0
control,0
control,0
exposed,0
exposed,0
control,1
control,1
control,0
exposed,1
exposed,1
control,1
exposed,1
exposed,1
control,0
exposed,0
control,0
exposed,1
exposed,1
exposed,0
control,1
control,1
exposed,1
control,0
control,0
exposed,1
exposed,0
exposed,1
exposed,1
control,0
control,0
control,1
control,0
exposed,0
exposed,0
exposed,1
control,0
control,1
exposed,0
control,1
exposed,1
exposed,1
exposed,1
exposed,0
control,0
exposed,0
control,0
exposed,0
control,0
control,0
exposed,0
control,0
exposed,0
control,1
control,1
exposed,0
exposed,0
control,0
exposed,1
exposed,0
exposed,0
control,0
exposed,1
exposed,0
exposed,0
exposed,1
exposed,0
control,0
control,1
control,0
control,0
exposed,0
control,1
exposed,1
control,1
control,1
control,0
control,1
exposed,0
exposed,1
control,0
exposed,0
exposed,1
control,0
exposed,1
exposed,1
control,1
exposed,0
exposed,0
control,0
control,0
exposed,1
exposed,0
control,1
control,1
exposed,1
exposed,1
exposed,0
exposed,0
control,0
exposed,0
exposed,0
exposed,0
exposed,0
control,1
control,1
exposed,0
control,0
control,1
exposed,0
exposed,0
control,1
exposed,0
control,1
control,0
control,0
exposed,0
control,1
control,0
exposed,1
control,0
control,1
control,0
control,0
exposed,0
exposed,0
exposed,0
control,1
exposed,0
exposed,0
control,1
control,0
exposed,0
control,1
exposed,0
control,1
control,1
exposed,0
exposed,0
control,1
exposed,1
control,0
exposed,0
exposed,0
exposed,1
control,0
exposed,0
exposed,0
control,0
exposed,0
exposed,0
exposed,1
control,1
control,0
control,0
exposed,1
exposed,0
control,0
exposed,0
exposed,0
exposed,1
control,1
control,1
exposed,1
exposed,0
control,0
exposed,0
exposed,0
exposed,1
exposed,0
control,1
control,0
control,0
exposed,0
control,1
control,0
control,0
exposed,0
exposed,1
exposed,0
exposed,1
exposed,0
control,0
control,1
exposed,1
exposed,0
exposed,1
control,0
exposed,1
exposed,1
exposed,1
control,0
control,0
control,1
exposed,1
control,0
control,0
exposed,0
control,0
exposed,1
exposed,0
control,0
exposed,1
control,1
control,1
control,1
exposed,0
control,0
exposed,0
exposed,0
exposed,1
control,0
control,1
control,1
exposed,1
exposed,1
exposed,0
exposed,0
control,0
exposed,0
exposed,1
control,0
control,1
exposed,0
exposed,1
exposed,1
exposed,0
control,1
control,0
control,1
control,0
exposed,0
exposed,0
exposed,0
control,1
exposed,1
exposed,1
exposed,0
exposed,0
control,1
exposed,1
exposed,0
exposed,1
exposed,0
exposed,0
exposed,0
exposed,1
exposed,0
exposed,1
exposed,0
control,0
exposed,0
exposed,0
exposed,0
control,1
exposed,1
control,0
control,1
exposed,0
control,0
exposed,0
control,0
control,1
exposed,0
control,1
exposed,1
exposed,0
control,1
control,1
control,0
exposed,1
control,0
control,1
exposed,0
control,1
exposed,0
exposed,0
control,1
control,1
control,0
exposed,0
control,0
control,0
exposed,0
control,0
exposed,1
exposed,0
exposed,1
control,0
control,0
exposed,1
control,0
exposed,1
exposed,0
exposed,0
control,1
control,1
control,1
control,1
control,0
exposed,0
exposed,1
exposed,1
exposed,1
control,1
exposed,0
exposed,1
control,1
control,1
control,1
control,1
control,0
control,1
control,1
exposed,0
control,1
exposed,0
control,0
control,1
control,1
control,1
exposed,0
exposed,1
control,0
control,1
control,0
control,0
control,0
control,0
control,0
control,1
exposed,0
control,0
exposed,1
control,0
control,1
control,0
control,0
control,0
exposed,0
exposed,1
exposed,1
exposed,0
exposed,1
control,1
exposed,0
exposed,1
control,0
control,1
exposed,0
exposed,0
control,1
control,0
exposed,0
control,0
control,1
control,1
control,0
exposed,1
control,1
exposed,0
control,1
exposed,1
exposed,0
control,0
exposed,1
exposed,1
exposed,1
exposed,0
exposed,0
exposed,0
exposed,1
exposed,1
control,0
exposed,1
exposed,0
control,0
exposed,1
control,1
control,0
exposed,0
exposed,0
control,0
exposed,1
control,1
exposed,0
control,0
control,0
control,1
exposed,0
exposed,0
exposed,0
exposed,0
control,0
control,1
control,0
exposed,1
exposed,0
control,0
exposed,0
exposed,0
control,1
control,0
control,1
exposed,0
exposed,0
control,0
control,0
exposed,1
exposed,0
control,1
control,1
exposed,1
control,0
control,1
exposed,1
exposed,1
exposed,1
exposed,0
exposed,1
exposed,0
exposed,0
exposed,0
control,1
control,0
control,0
control,1
exposed,0
exposed,1
control,1
control,1
exposed,1
exposed,1
exposed,1
exposed,0
exposed,1
exposed,0
exposed,0
exposed,1
exposed,0
control,0
control,0
exposed,0
exposed,0
control,1
exposed,0
control,0
exposed,0
exposed,1
exposed,1
exposed,0
exposed,1
exposed,0
exposed,0
control,1
exposed,0
exposed,1
control,0
control,1
exposed,1
control,0
exposed,0
exposed,0
exposed,0
control,0
exposed,1
exposed,1
control,0
exposed,0
control,0
exposed,0
control,0
exposed,1
exposed,1
control,0
exposed,1
control,1
control,0
exposed,0
control,1
exposed,1
exposed,0
exposed,0
exposed,0
exposed,0
control,0
exposed,1
control,0
control,1
control,0
exposed,1
control,0
exposed,0
exposed,0
control,1
control,1
control,1
control,1
control,0
control,0
exposed,0
exposed,0
control,0
exposed,0
exposed,1
control,0
exposed,0
exposed,1
exposed,0
control,1
control,1
exposed,0
exposed,1
exposed,1
exposed,1
control,0
control,0
exposed,0
exposed,1
control,1
control,1
exposed,0
control,0
control,0
control,1
exposed,0
control,1
control,0
control,1
exposed,0
exposed,1
exposed,0
exposed,0
exposed,1
control,0
exposed,1
control,1
exposed,0
control,1
exposed,0
control,0
control,0
control,1
exposed,1
control,1
exposed,1
control,1
exposed,0
exposed,0
exposed,0
exposed,1
exposed,1
control,0
exposed,1
control,1
control,0
control,0
exposed,1
control,0
exposed,1
control,1
control,0
exposed,1
exposed,1
control,1
exposed,1
exposed,1
control,1
control,0
exposed,0
exposed,1
exposed,0
control,1
exposed,1
exposed,0
exposed,1
control,0
control,1
exposed,0
exposed,0
control,1
control,0
control,1
exposed,1
control,1
control,0
control,1
exposed,1
control,1
control,0
exposed,1
exposed,0
control,0
exposed,1
exposed,0
exposed,1
control,1
exposed,0
control,0
control,0
exposed,1
control,0
control,1
exposed,1
exposed,1
control,0
exposed,1
exposed,1
exposed,0
exposed,1
exposed,0
control,0
exposed,0
control,1
control,1
exposed,0
control,1
exposed,0
exposed,0
exposed,1
exposed,0
control,1
control,1
exposed,0
exposed,0
exposed,0
control,1
exposed,1
exposed,0
control,1
exposed,1
control,0
exposed,0
exposed,1
exposed,1
exposed,0
exposed,0
control,0
exposed,1
exposed,0
control,0
exposed,0
control,0
exposed,1
control,1
exposed,1
control,0
exposed,0
exposed,1
exposed,0
exposed,1
exposed,1
control,0
exposed,0
control,1
exposed,1
exposed,1
control,1
control,0
exposed,1
control,1
control,0
control,0
control,0
control,0
exposed,1
exposed,0
control,0
exposed,1
exposed,1
control,0
exposed,1
control,0
exposed,1
exposed,0
control,0
exposed,1
exposed,0
exposed,0
exposed,0
control,1
control,0
exposed,1
exposed,0
control,0
control,1
exposed,1
exposed,0
exposed,0
control,1
control,1
control,0
exposed,0
exposed,1
control,0
exposed,0
exposed,0
exposed,0
control,0
control,1
exposed,1
exposed,1
exposed,1
control,1
control,0
control,0
exposed,1
exposed,1
control,0
exposed,1
control,1
control,0
control,0
exposed,1
control,1
exposed,0
exposed,0
exposed,0
exposed,0
exposed,0
control,0
exposed,1
exposed,1
control,1
exposed,1
control,1
exposed,1
exposed,1
exposed,1
exposed,1
exposed,1
control,0
exposed,1
control,0
control,0
exposed,1
control,0
control,1
control,1
control,0
control,0
control,0
exposed,1
control,0
exposed,1
control,0
control,0
control,1
control,0
control,1
exposed,0
control,1
exposed,1
exposed,0
exposed,1
exposed,1
exposed,0
control,0
control,1
control,0
exposed,1
exposed,0
control,0
control,0
control,0
control,0
control,0
exposed,1
control,1
control,1
control,0
control,1
exposed,1
exposed,1
control,1
control,0
exposed,1
exposed,0
exposed,1
exposed,0
control,0
control,0
control,0
exposed,0
exposed,1
exposed,0
control,1
exposed,0
control,0
control,1
control,1
control,0
control,0
exposed,0
exposed,1
control,0
control,0
control,0
control,0
control,0
control,1
exposed,0
exposed,1
exposed,0
control,0
exposed,1
exposed,0
exposed,1
control,0
control,1
control,1
exposed,1
exposed,1
exposed,1
exposed,1
exposed,1
control,1
control,1
exposed,0
exposed,0
control,1
control,0
control,0
control,0
control,0
control,0
control,0
control,1
exposed,1
exposed,1
exposed,1
control,0
exposed,0
exposed,1
exposed,0
exposed,0
exposed,0
exposed,1
control,0
control,0
control,0
exposed,0
control,1
exposed,1
exposed,1
exposed,1
exposed,1
control,1
control,1
control,0
exposed,1
control,0
exposed,0
exposed,1
exposed,0
control,0
control,0
exposed,1
exposed,1
control,1
control,0
exposed,1
exposed,1
exposed,0
control,1
control,1
control,1
exposed,0
control,1
control,0
control,0
control,1
exposed,0
control,1
control,0
exposed,0
control,1
control,1
control,0
exposed,1
exposed,1
control,1
control,1
control,1
control,0
exposed,1
exposed,1
exposed,0
exposed,0
exposed,0
control,0
control,0
control,0
control,1
exposed,0
exposed,0
control,1
control,1
control,0
control,0
exposed,1
control,0
exposed,1
control,0
exposed,1
exposed,1
exposed,1
control,1
control,0
control,0
exposed,1
exposed,1
exposed,0
exposed,0
exposed,0
exposed,0
exposed,0
exposed,1
control,0
exposed,0
control,0
exposed,0
control,1
control,0
exposed,0
control,0
exposed,1
control,0
exposed,1
control,1
exposed,0
exposed,0
control,0
exposed,0
control,1
exposed,0
control,1
exposed,0
control,0
exposed,1
control,1
control,0
exposed,1
exposed,1
control,1
exposed,1
exposed,1
exposed,0
exposed,0
control,0
exposed,0
control,1
exposed,0
exposed,1
exposed,0
control,1
exposed,1
exposed,0
control,1
control,1
exposed,1
exposed,0
control,0
exposed,1
exposed,1
control,1
control,1
control,1
control,1
exposed,0
exposed,0
exposed,1
control,0
exposed,1
control,0
control,0
exposed,1
control,0
exposed,0
control,0
control,0
exposed,0
exposed,1
exposed,0
control,0
exposed,0
exposed,1
exposed,1
control,0
exposed,1
control,1
exposed,1
exposed,0
control,1
exposed,1
control,1
exposed,1
control,1
exposed,0
control,0
control,1
control,0
exposed,0
control,0
control,0
exposed,0
control,0
exposed,1
control,0
exposed,0
control,1
exposed,0
exposed,0
exposed,0
control,1
control,0
exposed,1
exposed,0
control,1
control,0
exposed,0
control,1
control,1
exposed,1
control,1
control,0
control,1
control,0
control,0
control,0
control,1
control,0
exposed,0
exposed,1
control,1
exposed,1
exposed,1
exposed,0
exposed,1
exposed,1
control,0
control,0
exposed,0
